Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
241,Pro,51,#000000,#F2F2F2,18.76:1,AAA,#000000,1.00:1,Fail,#990000,2.35:1,Fail,#00A600,6.45:1,AA,#999900,6.91:1,AA,#2009DB,2.12:1,Fail,#B200B2,3.54:1,AA-Large,#00A6B2,7.10:1,AAA,#BFBFBF,11.42:1,AAA,#666666,3.66:1,AA-Large,#E50000,4.33:1,AA-Large,#00D900,10.93:1,AAA,#E5E500,15.54:1,AAA,#0000FF,2.44:1,Fail,#E500E5,5.46:1,AA,#00E5E5,13.34:1,AAA,#E5E5E5,16.67:1,AAA,9/16,12/16,6/16,9/16,#4D4D4D,2.48:1,Fail,#FFFFFF,8.45:1,AAA,#414141,#000000,2.06:1,Fail,2.06:1,Fail,0.333,0,13.60,109.65,-99.3,3/16,5/16
242,Elementary,51,#181818,#EFEFEF,15.44:1,AAA,#242424,1.14:1,Fail,#D71C15,3.44:1,AA-Large,#5AA513,5.77:1,AA,#FDB40C,9.90:1,AAA,#134899,2.04:1,Fail,#E40038,3.68:1,AA-Large,#2595E1,5.47:1,AA,#EFEFEF,15.44:1,AAA,#4B4B4B,2.04:1,Fail,#FC1C18,4.50:1,AA-Large,#6BC219,7.91:1,AAA,#FEC80E,11.40:1,AAA,#0955FF,3.18:1,AA-Large,#FB0050,4.41:1,AA-Large,#3EA8FC,6.94:1,AA,#8C00EC,2.81:1,Fail,7/16,12/16,4/16,7/16,#BBBBBB,9.25:1,Pass,#FFFFFF,1.92:1,Fail,#B5D5FF,#000000,13.93:1,AAA,11.78:1,Pass,0.333,6503,8.08,111.88,-96.3,2/16,3/16
243,TokyoNight Storm,51,#24283B,#C0CAF5,9.02:1,AAA,#1D202F,1.11:1,Fail,#F7768E,5.51:1,AA,#9ECE6A,7.97:1,AAA,#E0AF68,7.28:1,AAA,#7AA2F7,5.78:1,AA,#BB9AF7,6.30:1,AA,#7DCFFF,8.49:1,AAA,#A9B1D6,6.90:1,AA,#4E5575,2.00:1,Fail,#F7768E,5.51:1,AA,#9ECE6A,7.97:1,AAA,#E0AF68,7.28:1,AAA,#7AA2F7,5.78:1,AA,#BB9AF7,6.30:1,AA,#7DCFFF,8.49:1,AAA,#C0CAF5,9.02:1,AAA,14/16,14/16,7/16,14/16,#C0CAF5,9.02:1,Pass,#1D202F,10.01:1,AAA,#364A82,#C0CAF5,5.29:1,AA,1.71:1,Fail,0.530,20471,0.00,79.15,-71.7,0/16,7/16
244,Tomorrow Night,51,#1D1F21,#C5C8C6,9.80:1,AAA,#000000,1.27:1,Fail,#CC6666,4.46:1,AA-Large,#B5BD68,8.22:1,AAA,#F0C674,10.26:1,AAA,#81A2BE,6.18:1,AA,#B294BB,6.18:1,AA,#8ABEB7,7.97:1,AAA,#FFFFFF,16.53:1,AAA,#4C4C4C,1.93:1,Fail,#CC6666,4.46:1,AA-Large,#B5BD68,8.22:1,AAA,#F0C674,10.26:1,AAA,#81A2BE,6.18:1,AA,#B294BB,6.18:1,AA,#8ABEB7,7.97:1,AAA,#FFFFFF,16.53:1,AAA,12/16,14/16,8/16,12/16,#C5C8C6,9.80:1,Pass,#1D1F21,9.80:1,AAA,#373B41,#C5C8C6,6.68:1,AA,1.47:1,Fail,0.369,7472,0.00,107.45,-70.9,2/16,6/16
245,Popping And Locking,51,#181921,#EBDBB2,12.76:1,AAA,#1D2021,1.07:1,Fail,#CC241D,3.20:1,AA-Large,#98971A,5.65:1,AA,#D79921,7.06:1,AAA,#458588,4.14:1,AA-Large,#B16286,4.13:1,AA-Large,#689D6A,5.52:1,AA,#A89984,6.30:1,AA,#928374,4.77:1,AA,#F42C3E,4.40:1,AA-Large,#B8BB26,8.48:1,AAA,#FABD2F,10.32:1,AAA,#99C6CA,9.41:1,AAA,#D3869B,6.38:1,AA,#7EC16E,8.12:1,AAA,#EBDBB2,12.76:1,AAA,11/16,15/16,6/16,11/16,#C7C7C7,10.35:1,Pass,#8C8C8C,1.99:1,Fail,#EBDBB2,#928374,2.68:1,Fail,12.76:1,Pass,0.446,10570,8.84,70.04,-84.1,1/16,4/16
246,Cobalt2,51,#132738,#FFFFFF,15.27:1,AAA,#000000,1.38:1,Fail,#FF0000,3.82:1,AA-Large,#38DE21,8.46:1,AAA,#FFE50A,11.97:1,AAA,#1460D2,2.64:1,Fail,#FF005D,3.93:1,AA-Large,#00BBBB,6.42:1,AA,#BBBBBB,7.96:1,AAA,#555555,2.05:1,Fail,#F40E17,3.58:1,AA-Large,#3BD01D,7.44:1,AAA,#EDC809,9.36:1,AAA,#5555FF,3.00:1,AA-Large,#FF55FF,5.81:1,AA,#6AE3FA,10.17:1,AAA,#FFFFFF,15.27:1,AAA,9/16,13/16,7/16,9/16,#F0CC09,9.71:1,Pass,#98998C,1.84:1,Fail,#18354F,#B5B5B5,6.17:1,AA,1.21:1,Fail,0.596,25000,6.97,105.39,-104.8,3/16,6/16
247,Japanesque,51,#1E1E1E,#F7F6EC,15.36:1,AAA,#343935,1.42:1,Fail,#CF3F61,3.60:1,AA-Large,#7BB75B,6.96:1,AA,#E9B32A,8.69:1,AAA,#4C9AD4,5.46:1,AA,#A57FC4,5.11:1,AA,#389AAD,5.08:1,AA,#FAFAF6,15.93:1,AAA,#595B59,2.43:1,Fail,#D18FA6,6.50:1,AA,#767F2C,3.84:1,AA-Large,#78592F,2.59:1,Fail,#135979,2.17:1,Fail,#604291,2.13:1,Fail,#76BBCA,7.73:1,AAA,#B2B5AE,8.03:1,AAA,9/16,11/16,4/16,9/16,#EDCF4F,10.83:1,Pass,#343935,7.65:1,AAA,#175877,#F7F6EC,7.17:1,AAA,2.14:1,Fail,0.333,6503,14.24,106.93,-99.8,1/16,2/16
248,Tomorrow Night Eighties,51,#2D2D2D,#CCCCCC,8.58:1,AAA,#000000,1.52:1,Fail,#F2777A,5.05:1,AA,#99CC99,7.51:1,AAA,#FFCC66,9.23:1,AAA,#6699CC,4.59:1,AA,#CC99CC,5.90:1,AA,#66CCCC,7.26:1,AAA,#FFFFFF,13.77:1,AAA,#595959,1.97:1,Fail,#F2777A,5.05:1,AA,#99CC99,7.51:1,AAA,#FFCC66,9.23:1,AAA,#6699CC,4.59:1,AA,#CC99CC,5.90:1,AA,#66CCCC,7.26:1,AAA,#FFFFFF,13.77:1,AAA,14/16,14/16,8/16,14/16,#CCCCCC,8.58:1,Pass,#2D2D2D,8.58:1,AAA,#515151,#CCCCCC,4.94:1,AA,1.74:1,Fail,0.333,6503,0.00,113.70,-71.2,4/16,8/16
249,Neobones Light,50,#E5EDE6,#202E18,12.00:1,AAA,#E5EDE6,1.00:1,Fail,#A8334C,5.42:1,AA,#567A30,4.17:1,AA-Large,#944927,5.43:1,AA,#286486,5.40:1,AA,#88507D,5.04:1,AA,#3B8992,3.40:1,AA-Large,#202E18,12.00:1,AAA,#99AC9C,2.01:1,Fail,#94253E,6.78:1,AA,#3F5A22,6.52:1,AA,#803D1C,6.76:1,AA,#1D5573,6.77:1,AA,#7B3B70,6.51:1,AA,#2B747C,4.52:1,AA,#415934,6.51:1,AA,12/16,14/16,1/16,12/16,#202E18,12.00:1,Pass,#E5EDE6,12.00:1,AAA,#ADE48C,#202E18,9.73:1,AAA,1.23:1,Fail,0.327,6505,6.37,106.18,89.1,5/16,13/16
250,Rippedcasts,50,#2B2B2B,#FFFFFF,14.16:1,AAA,#000000,1.48:1,Fail,#CDAF95,6.85:1,AA,#A8FF60,11.56:1,AAA,#BFBB1F,6.97:1,AA,#75A5B0,5.24:1,AA,#FF73FD,6.15:1,AA,#5A647E,2.40:1,Fail,#BFBFBF,7.70:1,AAA,#666666,2.47:1,Fail,#EECBAD,9.29:1,AAA,#BCEE68,10.50:1,AAA,#E5E500,10.48:1,AAA,#86BDC9,6.83:1,AA,#E500E5,3.68:1,AA-Large,#8C9BC4,5.12:1,AA,#E5E5E5,11.24:1,AAA,12/16,13/16,6/16,12/16,#7F7F7F,3.54:1,Pass,#FFFFFF,4.00:1,AA-Large,#5A647E,#F2F2F2,5.27:1,AA,2.40:1,Fail,0.333,6503,8.73,103.60,-103.8,4/16,6/16
