Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
1,Modus Operandi,88,#FFFFFF,#000000,21.00:1,AAA,#000000,21.00:1,AAA,#A60000,8.01:1,AAA,#006800,7.05:1,AAA,#6F5500,7.06:1,AAA,#0031A9,10.44:1,AAA,#721045,11.20:1,AAA,#005E8B,7.06:1,AAA,#A6A6A6,2.43:1,Fail,#595959,7.00:1,AAA,#972500,8.14:1,AAA,#00663F,7.07:1,AAA,#884900,7.00:1,AAA,#3548CF,7.05:1,AAA,#531AB6,9.58:1,AAA,#005F5F,7.49:1,AAA,#595959,7.00:1,AAA,15/16,15/16,15/16,15/16,#000000,21.00:1,Pass,#FFFFFF,21.00:1,AAA,#BDBDBD,#000000,11.18:1,AAA,1.88:1,Fail,0.333,6503,0.00,124.14,106.0,15/16,15/16
2,Xcode Light hc,85,#FFFFFF,#000000,21.00:1,AAA,#B4D8FD,1.48:1,Fail,#AD1805,7.22:1,AAA,#355D61,7.27:1,AAA,#78492A,7.54:1,AAA,#0058A1,7.22:1,AAA,#9C2191,6.91:1,AA,#703DAA,7.15:1,AAA,#000000,21.00:1,AAA,#8A99A6,2.92:1,Fail,#AD1805,7.22:1,AAA,#174145,11.18:1,AAA,#78492A,7.54:1,AAA,#003F73,10.72:1,AAA,#9C2191,6.91:1,AA,#441EA1,10.79:1,AAA,#000000,21.00:1,AAA,14/16,14/16,12/16,14/16,#000000,21.00:1,Pass,#FFFFFF,21.00:1,AAA,#B4D8FD,#000000,14.18:1,AAA,1.48:1,Fail,0.333,6503,0.00,72.78,106.0,14/16,14/16
3,Ultra Dark,85,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#F07178,7.34:1,AAA,#C3E88D,15.25:1,AAA,#FFCB6B,14.01:1,AAA,#82AAFF,9.14:1,AAA,#C792EA,8.73:1,AAA,#89DDFF,13.85:1,AAA,#CCCCCC,13.08:1,AAA,#404040,2.03:1,Fail,#F6A9AE,11.20:1,AAA,#DBF1BA,17.30:1,AAA,#FFDFA6,16.36:1,AAA,#B4CCFF,13.02:1,AAA,#DDBDF2,12.64:1,AAA,#B8EAFF,16.25:1,AAA,#FFFFFF,21.00:1,AAA,14/16,14/16,14/16,14/16,#FEFEFE,20.82:1,Pass,#000000,20.82:1,AAA,#222222,#CCCCCC,9.91:1,AAA,1.32:1,Fail,0.333,0,12.16,153.19,-107.9,9/16,11/16
4,Vibrant Ink,85,#000000,#FFFFFF,21.00:1,AAA,#878787,5.85:1,AA,#FF6600,7.15:1,AAA,#CCFF04,17.87:1,AAA,#FFCC00,13.89:1,AAA,#44B4CC,8.65:1,AAA,#9933CC,3.70:1,AA-Large,#44B4CC,8.65:1,AAA,#F5F5F5,19.26:1,AAA,#555555,2.82:1,Fail,#FF0000,5.25:1,AA,#00FF00,15.30:1,AAA,#FFFF00,19.56:1,AAA,#0000FF,2.44:1,Fail,#FF00FF,6.70:1,AA,#00FFFF,16.75:1,AAA,#E5E5E5,16.67:1,AAA,13/16,14/16,10/16,13/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,0.00,88.40,-107.9,7/16,7/16
5,Modus Vivendi,84,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#FF5F59,7.03:1,AAA,#44BC44,8.52:1,AAA,#D0BC00,10.88:1,AAA,#2FAFFF,8.70:1,AAA,#FEACD0,12.03:1,AAA,#00D3D0,11.23:1,AAA,#A6A6A6,8.63:1,AAA,#595959,3.00:1,Fail,#FF7F9F,8.79:1,AAA,#00C06F,8.77:1,AAA,#FEC43F,13.18:1,AAA,#79A8FF,8.86:1,AAA,#B6A0FF,9.46:1,AAA,#6AE4B9,13.41:1,AAA,#FFFFFF,21.00:1,AAA,14/16,14/16,14/16,14/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#5A5A5A,#FFFFFF,6.90:1,AA,3.04:1,Pass,0.333,0,15.18,108.26,-107.9,3/16,6/16
6,iTerm2 Tango Dark,84,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#D81E00,4.11:1,AA-Large,#5EA702,7.00:1,AAA,#CFAE00,9.71:1,AAA,#427AB3,4.67:1,AA,#89658E,4.32:1,AA-Large,#00A7AA,7.11:1,AAA,#DBDED8,15.45:1,AAA,#686A66,3.84:1,AA-Large,#F54235,5.71:1,AA,#99E343,13.42:1,AAA,#FDEB61,17.23:1,AAA,#84B0D8,9.18:1,AAA,#BC94B7,8.06:1,AAA,#37E6E8,13.65:1,AAA,#F1F1F0,18.58:1,AAA,12/16,15/16,10/16,12/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#C1DEFF,#000000,15.16:1,AAA,15.16:1,Pass,0.333,0,7.58,97.90,-107.9,5/16,5/16
7,GitHub Dark High Contrast,82,#0A0C10,#F0F3F6,17.57:1,AAA,#7A828E,5.04:1,AA,#FF9492,9.23:1,AAA,#26CD4D,9.25:1,AAA,#F0B72F,10.74:1,AAA,#71B7FF,9.24:1,AAA,#CB9EFF,9.20:1,AAA,#39C5CF,9.38:1,AAA,#D9DEE3,14.45:1,AAA,#9EA7B3,8.05:1,AAA,#FFB1AF,11.33:1,AAA,#4AE168,11.43:1,AAA,#F7C843,12.39:1,AAA,#91CBFF,11.36:1,AAA,#DBB7FF,11.40:1,AAA,#56D4DD,11.05:1,AAA,#FFFFFF,19.57:1,AAA,16/16,16/16,15/16,16/16,#71B7FF,9.24:1,Pass,#B1F7FF,1.78:1,Fail,#F0F3F6,#0A0C10,17.57:1,AAA,17.57:1,Pass,0.436,9997,5.70,101.17,-99.5,3/16,14/16
8,iTerm2 Default,81,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#C91B00,3.64:1,AA-Large,#00C200,8.72:1,AAA,#C7C400,11.32:1,AAA,#2225C4,2.13:1,Fail,#CA30C7,4.76:1,AA,#00C5C7,9.81:1,AAA,#FFFFFF,21.00:1,AAA,#686868,3.77:1,AA-Large,#FF6E67,7.68:1,AAA,#5FFA68,15.36:1,AAA,#FFFC67,19.37:1,AAA,#6871FF,5.39:1,AA,#FF77FF,9.33:1,AAA,#60FDFF,16.99:1,AAA,#FFFFFF,21.00:1,AAA,12/16,14/16,10/16,12/16,#E5E5E5,16.67:1,Pass,#000000,16.67:1,AAA,#C1DEFF,#000000,15.16:1,AAA,15.16:1,Pass,0.333,0,0.00,110.16,-107.9,5/16,7/16
9,Builtin Tango Dark,79,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#CC0000,3.57:1,AA-Large,#4E9A06,5.95:1,AA,#C4A000,8.38:1,AAA,#3465A4,3.54:1,AA-Large,#75507B,3.19:1,AA-Large,#06989A,5.97:1,AA,#D3D7CF,14.39:1,AAA,#555753,2.87:1,Fail,#EF2929,5.02:1,AA,#8AE234,13.01:1,AAA,#FCE94F,16.91:1,AAA,#729FCF,7.58:1,AAA,#AD7FA8,6.38:1,AA,#34E2E2,13.12:1,AAA,#EEEEEC,18.08:1,AAA,11/16,14/16,7/16,11/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,9.25,98.73,-107.9,5/16,5/16
10,Adventure,78,#040404,#FEFFFF,20.47:1,AAA,#040404,1.00:1,Fail,#D84A33,4.83:1,AA,#5DA602,6.76:1,AA,#EEBB6E,11.68:1,AAA,#417AB3,4.55:1,AA,#E5C499,12.39:1,AAA,#BDCFE5,12.91:1,AAA,#DBDED8,15.09:1,AAA,#685656,2.98:1,Fail,#D76B42,5.93:1,AA,#99B52C,8.79:1,AAA,#FFB670,11.89:1,AAA,#97D7EF,12.97:1,AAA,#AA7900,5.32:1,AA,#BDCFE5,12.91:1,AAA,#E4D5C7,14.29:1,AAA,14/16,14/16,9/16,14/16,#FEFFFF,20.47:1,Pass,#000000,20.96:1,AAA,#606060,#FFFFFF,6.29:1,AA,3.26:1,Pass,0.333,6503,0.00,82.82,-107.7,5/16,8/16
11,Firefly Traditional,78,#000000,#F5F5F5,19.26:1,AAA,#000000,1.00:1,Fail,#C23720,3.86:1,AA-Large,#33BC26,8.36:1,AAA,#AFAD24,8.83:1,AAA,#5A63FF,4.66:1,AA,#D53AD2,5.37:1,AA,#33BBC7,9.07:1,AAA,#CCCCCC,13.08:1,AAA,#828282,5.46:1,AA,#FF3B1E,5.90:1,AA,#2EE720,12.57:1,AAA,#ECEC16,16.58:1,AAA,#838DFF,7.22:1,AAA,#FF5CFE,8.21:1,AAA,#29F0F0,14.82:1,AAA,#EBEBEB,17.62:1,AAA,14/16,15/16,10/16,14/16,#00F900,14.55:1,Pass,#999999,1.97:1,Fail,#CFEAC6,#000000,16.24:1,AAA,16.24:1,Pass,0.333,0,11.00,109.69,-101.3,4/16,5/16
12,Xcode Dark hc,77,#1F1F24,#FFFFFF,16.41:1,AAA,#43454B,1.71:1,Fail,#FF8A7A,7.16:1,AAA,#83C9BC,8.63:1,AAA,#D9C668,9.56:1,AAA,#4EC4E6,8.10:1,AAA,#FF85B8,7.27:1,AAA,#CDA1FF,7.92:1,AAA,#FFFFFF,16.41:1,AAA,#838991,4.65:1,AA,#FF8A7A,7.16:1,AAA,#B1FAEB,13.86:1,AAA,#FFA14F,8.18:1,AAA,#6BDFFF,10.65:1,AAA,#FF85B8,7.27:1,AAA,#E5CFFF,11.49:1,AAA,#FFFFFF,16.41:1,AAA,15/16,15/16,14/16,15/16,#FFFFFF,16.41:1,Pass,#1F1F24,16.41:1,AAA,#43454B,#FFFFFF,9.58:1,AAA,1.71:1,Fail,0.392,7989,0.00,124.39,-105.8,5/16,9/16
13,IR Black,77,#000000,#F1F1F1,18.59:1,AAA,#4F4F4F,2.56:1,Fail,#FA6C60,7.38:1,AAA,#A8FF60,17.14:1,AAA,#FFFEB7,20.11:1,AAA,#96CAFE,12.18:1,AAA,#FA73FD,8.94:1,AAA,#C6C5FE,12.82:1,AAA,#EFEDEF,18.03:1,AAA,#7B7B7B,4.96:1,AA,#FCB6B0,12.46:1,AAA,#CFFFAB,18.55:1,AAA,#FFFFCC,20.43:1,AAA,#B5DCFF,14.65:1,AAA,#FB9CFE,11.29:1,AAA,#E0E0FE,16.26:1,AAA,#FFFFFF,21.00:1,AAA,15/16,15/16,14/16,15/16,#808080,5.32:1,Pass,#FFFFFF,3.95:1,AA-Large,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,6.18,186.18,-98.7,8/16,12/16
14,GitHub Light High Contrast,76,#FFFFFF,#0E1116,18.91:1,AAA,#0E1116,18.91:1,AAA,#A0111F,8.09:1,AAA,#024C1A,10.24:1,AAA,#3F2200,14.58:1,AAA,#0349B4,8.03:1,AAA,#622CBC,8.06:1,AAA,#1B7C83,4.93:1,AA,#66707B,5.04:1,AA,#4B535D,7.79:1,AAA,#86061D,10.21:1,AAA,#055D20,8.10:1,AAA,#4E2C00,12.47:1,AAA,#1168E3,5.11:1,AA,#844AE7,5.10:1,AA,#3192AA,3.61:1,AA-Large,#88929D,3.16:1,AA-Large,14/16,16/16,10/16,14/16,#0349B4,8.03:1,Pass,#367CE7,1.99:1,Fail,#0E1116,#FFFFFF,18.91:1,AAA,18.91:1,Pass,0.333,6503,8.45,90.26,105.4,10/16,15/16
15,Cursor Dark,75,#141414,#FFFFFF,18.42:1,AAA,#2A2A2A,1.28:1,Fail,#BF616A,4.50:1,AA,#A3BE8C,9.04:1,AAA,#EBCB8B,11.80:1,AAA,#81A1C1,6.84:1,AA,#B48EAD,6.50:1,AA,#88C0D0,9.21:1,AAA,#D8DEE9,13.64:1,AAA,#505050,2.28:1,Fail,#BF616A,4.50:1,AA,#A3BE8C,9.04:1,AAA,#EBCB8B,11.80:1,AAA,#81A1C1,6.84:1,AA,#B48EAD,6.50:1,AA,#88C0D0,9.21:1,AAA,#FFFFFF,18.42:1,AAA,14/16,14/16,8/16,14/16,#FFFFFF,18.42:1,Pass,#141414,18.42:1,AAA,#303030,#FFFFFF,13.20:1,AAA,1.40:1,Fail,0.333,6503,0.00,116.94,-107.1,4/16,8/16
16,0x96f,75,#262427,#FCFCFA,14.99:1,AAA,#262427,1.00:1,Fail,#FF666D,5.41:1,AA,#B3E03A,10.00:1,AAA,#FFC739,9.88:1,AAA,#00CDE8,7.99:1,AAA,#A392E8,5.74:1,AA,#9DEAF6,11.39:1,AAA,#FCFCFA,14.99:1,AAA,#545452,2.03:1,Fail,#FF7E83,6.28:1,AA,#BEE55E,10.67:1,AAA,#FFD05E,10.58:1,AAA,#1BD5EB,8.62:1,AAA,#B0A3EB,6.81:1,AA,#ACEDF8,11.89:1,AAA,#FCFCFA,14.99:1,AAA,14/16,14/16,10/16,14/16,#FCFCFA,14.99:1,Pass,#000000,20.44:1,AAA,#FCFCFA,#262427,14.99:1,AAA,14.99:1,Pass,0.354,6787,0.00,103.92,-102.9,7/16,10/16
17,Sunset Drive,75,#0F0F1A,#EDEDFE,16.44:1,AAA,#0A0A13,1.04:1,Fail,#FF0063,4.92:1,AA,#00F992,13.56:1,AAA,#FFE900,15.32:1,AAA,#00A4FF,7.03:1,AAA,#FF57FD,7.28:1,AAA,#00FFED,14.98:1,AAA,#EDEDFF,16.45:1,AAA,#3E3E4B,1.81:1,Fail,#FF948B,8.94:1,AAA,#00FCB9,14.16:1,AAA,#FFFF68,17.90:1,AAA,#3EA0FF,6.96:1,AA,#FF93FF,9.85:1,AAA,#38FFFF,15.33:1,AAA,#F8F8FF,18.00:1,AAA,14/16,14/16,12/16,14/16,#EDEDFE,16.44:1,Pass,#0F0F1A,16.44:1,AAA,#202036,#EDEDFF,13.74:1,AAA,1.20:1,Fail,0.520,19680,6.00,96.59,-96.5,8/16,10/16
18,Tomorrow Night Bright,75,#000000,#EAEAEA,17.46:1,AAA,#000000,1.00:1,Fail,#D54E53,5.04:1,AA,#B9CA4A,11.61:1,AAA,#E7C547,12.48:1,AAA,#7AA6DA,8.29:1,AAA,#C397D8,8.74:1,AAA,#70C0B1,9.86:1,AAA,#FFFFFF,21.00:1,AAA,#404040,2.03:1,Fail,#D54E53,5.04:1,AA,#B9CA4A,11.61:1,AAA,#E7C547,12.48:1,AAA,#7AA6DA,8.29:1,AAA,#C397D8,8.74:1,AAA,#70C0B1,9.86:1,AAA,#FFFFFF,21.00:1,AAA,14/16,14/16,12/16,14/16,#EAEAEA,17.46:1,Pass,#000000,17.46:1,AAA,#424242,#EAEAEA,8.35:1,AAA,2.09:1,Fail,0.333,0,0.00,106.74,-94.2,2/16,8/16
19,Carbonfox,75,#161616,#F2F4F8,16.43:1,AAA,#282828,1.23:1,Fail,#EE5396,5.44:1,AA,#25BE6A,7.46:1,AAA,#08BDBA,7.75:1,AAA,#78A9FF,7.68:1,AAA,#BE95FF,7.70:1,AAA,#33B1FF,7.65:1,AAA,#DFDFE0,13.59:1,AAA,#484848,1.98:1,Fail,#F16DA6,6.44:1,AA,#46C880,8.47:1,AAA,#2DC7C4,8.68:1,AAA,#8CB6FF,8.83:1,AAA,#C8A5FF,8.86:1,AAA,#52BDFF,8.69:1,AAA,#E4E4E5,14.24:1,AAA,14/16,14/16,12/16,14/16,#F2F4F8,16.43:1,Pass,#161616,16.43:1,AAA,#2A2A2A,#F2F4F8,13.04:1,AAA,1.26:1,Fail,0.333,6503,1.77,76.12,-99.6,2/16,6/16
20,IRIX Terminal,74,#000043,#F2F2F2,17.35:1,AAA,#1A1919,1.11:1,Fail,#FF2B1E,5.20:1,AA,#57FF3D,14.59:1,AAA,#FFFF44,18.17:1,AAA,#0004FF,2.28:1,Fail,#FF2CFF,6.53:1,AA,#56FFFF,15.86:1,AAA,#FFFFFF,19.43:1,AAA,#FFFF44,18.17:1,AAA,#FFFF44,18.17:1,AAA,#FFFF44,18.17:1,AAA,#FFFC72,17.96:1,AAA,#FFFF44,18.17:1,AAA,#FFFF44,18.17:1,AAA,#FFFF44,18.17:1,AAA,#FFFF44,18.17:1,AAA,14/16,14/16,12/16,14/16,#C7C7C7,11.49:1,Pass,#8C8C8C,1.99:1,Fail,#C2DEFF,#000000,15.19:1,AAA,14.05:1,Pass,1.000,1667,0.00,59.81,-98.4,12/16,12/16
21,Dark Pastel,74,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#FF5555,6.68:1,AA,#55FF55,15.82:1,AAA,#FFFF55,19.69:1,AAA,#5555FF,4.13:1,AA-Large,#FF55FF,8.00:1,AAA,#55FFFF,17.13:1,AAA,#BBBBBB,10.94:1,AAA,#555555,2.82:1,Fail,#FF5555,6.68:1,AA,#55FF55,15.82:1,AAA,#FFFF55,19.69:1,AAA,#5555FF,4.13:1,AA-Large,#FF55FF,8.00:1,AAA,#55FFFF,17.13:1,AAA,#FFFFFF,21.00:1,AAA,12/16,14/16,10/16,12/16,#BBBBBB,10.94:1,Pass,#FFFFFF,1.92:1,Fail,#B5D5FF,#000000,13.93:1,AAA,13.93:1,Pass,0.333,0,0.00,112.14,-107.9,7/16,8/16
22,Starlight,73,#242424,#FFFFFF,15.52:1,AAA,#242424,1.00:1,Fail,#F62B5A,4.00:1,AA-Large,#47B413,5.77:1,AA,#E3C401,8.99:1,AAA,#24ACD4,5.86:1,AA,#F2AFFD,9.11:1,AAA,#13C299,6.80:1,AA,#E6E6E6,12.44:1,AAA,#616161,2.51:1,Fail,#FF4D51,4.75:1,AA,#35D450,7.90:1,AAA,#E9E836,11.87:1,AAA,#5DC5F8,7.99:1,AAA,#FEABF2,9.11:1,AAA,#24DFC4,9.19:1,AAA,#FFFFFF,15.52:1,AAA,13/16,14/16,9/16,13/16,#FFFFFF,15.52:1,Pass,#242424,15.52:1,AAA,#FFFFFF,#242424,15.52:1,AAA,15.52:1,Pass,0.333,6503,7.14,81.84,-105.1,3/16,9/16
23,Kitty Default,73,#000000,#DDDDDD,15.46:1,AAA,#000000,1.00:1,Fail,#CC0403,3.59:1,AA-Large,#19CB00,9.58:1,AAA,#CECB00,12.17:1,AAA,#0D73CC,4.34:1,AA-Large,#CB1ED1,4.65:1,AA,#0DCDCD,10.63:1,AAA,#DDDDDD,15.46:1,AAA,#767676,4.62:1,AA,#F2201F,5.00:1,AA,#23FD00,15.12:1,AAA,#FFFD00,19.30:1,AAA,#1A8FFF,6.42:1,AA,#FD28FF,6.92:1,AA,#14FFFF,16.78:1,AAA,#FFFFFF,21.00:1,AAA,13/16,15/16,8/16,13/16,#CCCCCC,13.08:1,Pass,#111111,11.76:1,AAA,#FFFACD,#000000,19.81:1,AAA,19.81:1,Pass,0.333,0,11.28,105.99,-86.0,5/16,7/16
24,GitHub Dark Default,72,#0D1117,#E6EDF3,16.02:1,AAA,#484F58,2.28:1,Fail,#FF7B72,7.51:1,AAA,#3FB950,7.45:1,AAA,#D29922,7.50:1,AAA,#58A6FF,7.49:1,AAA,#BC8CFF,7.51:1,AAA,#39C5CF,9.07:1,AAA,#B1BAC4,9.63:1,AAA,#6E7681,4.12:1,AA-Large,#FFA198,9.74:1,AAA,#56D364,9.82:1,AAA,#E3B341,9.72:1,AAA,#79C0FF,9.73:1,AAA,#D2A8FF,9.72:1,AAA,#56D4DD,10.69:1,AAA,#FFFFFF,18.92:1,AAA,14/16,15/16,14/16,14/16,#2F81F7,5.05:1,Pass,#6FC1FF,1.92:1,Fail,#E6EDF3,#0D1117,16.02:1,AAA,16.02:1,Pass,0.471,12174,5.70,103.34,-95.0,1/16,9/16
25,Twilight,72,#141414,#FFFFD4,17.99:1,AAA,#141414,1.00:1,Fail,#C06D44,4.84:1,AA,#AFB97A,8.81:1,AAA,#C2A86C,7.99:1,AAA,#44474A,1.97:1,Fail,#B4BE7C,9.30:1,AAA,#778385,4.71:1,AA,#FFFFD4,17.99:1,AAA,#404040,1.78:1,Fail,#DE7C4C,6.22:1,AA,#CCD88C,12.08:1,AAA,#E2C47E,10.91:1,AAA,#5A5E62,2.82:1,Fail,#D0DC8E,12.55:1,AAA,#8A989B,6.18:1,AA,#FFFFD4,17.99:1,AAA,12/16,12/16,8/16,12/16,#FFFFFF,18.42:1,Pass,#000000,21.00:1,AAA,#313131,#FFFFD4,12.70:1,AAA,1.42:1,Fail,0.333,6503,0.00,65.33,-105.3,4/16,7/16
26,Tomorrow Night Blue,72,#002451,#FFFFFF,15.32:1,AAA,#000000,1.37:1,Fail,#FF9DA4,7.74:1,AAA,#D1F1A9,12.30:1,AAA,#FFEEAD,13.19:1,AAA,#BBDAFF,10.64:1,AAA,#EBBBFF,9.54:1,AAA,#99FFFF,13.20:1,AAA,#FFFFFF,15.32:1,AAA,#4C4C4C,1.78:1,Fail,#FF9DA4,7.74:1,AAA,#D1F1A9,12.30:1,AAA,#FFEEAD,13.19:1,AAA,#BBDAFF,10.64:1,AAA,#EBBBFF,9.54:1,AAA,#99FFFF,13.20:1,AAA,#FFFFFF,15.32:1,AAA,14/16,14/16,14/16,14/16,#FFFFFF,15.32:1,Pass,#003F8E,9.99:1,AAA,#003F8E,#FFFFFF,9.99:1,AAA,1.53:1,Fail,0.823,3435,0.00,112.14,-104.6,10/16,14/16
27,Oxocarbon,71,#161616,#F2F4F8,16.43:1,AAA,#161616,1.00:1,Fail,#00DFDB,10.84:1,AAA,#00B4FF,7.73:1,AAA,#FF4297,5.58:1,AA,#00C15A,7.56:1,AAA,#C693FF,7.77:1,AAA,#FF74B8,7.27:1,AAA,#F2F4F8,16.43:1,AAA,#585858,2.54:1,Fail,#00DFDB,10.84:1,AAA,#00B4FF,7.73:1,AAA,#FF4297,5.58:1,AA,#00C15A,7.56:1,AAA,#C693FF,7.77:1,AAA,#FF74B8,7.27:1,AAA,#F2F4F8,16.43:1,AAA,14/16,14/16,12/16,14/16,#FFFFFF,18.10:1,Pass,#000000,21.00:1,AAA,#393939,#626262,1.89:1,Fail,1.57:1,Fail,0.333,6503,0.00,90.67,-99.6,2/16,4/16
28,Blazer,71,#0D1926,#D9E6F2,13.98:1,AAA,#000000,1.18:1,Fail,#B87A7A,5.15:1,AA,#7AB87A,7.57:1,AAA,#B8B87A,8.59:1,AAA,#7A7AB8,4.48:1,AA-Large,#B87AB8,5.50:1,AA,#7AB8B8,7.92:1,AAA,#D9D9D9,12.56:1,AAA,#4C4C4C,2.07:1,Fail,#DBBDBD,10.16:1,AAA,#BDDBBD,11.85:1,AAA,#DBDBBD,12.57:1,AAA,#BDBDDB,9.68:1,AAA,#DBBDDB,10.40:1,AAA,#BDDBDB,12.09:1,AAA,#FFFFFF,17.73:1,AAA,13/16,14/16,11/16,13/16,#D9E6F2,13.98:1,Pass,#0D1926,13.98:1,AAA,#C1DDFF,#000000,15.05:1,AAA,12.71:1,Pass,0.585,25000,10.51,115.49,-89.4,5/16,9/16
29,Embark,71,#1E1C31,#EEFFFF,16.11:1,AAA,#1E1C31,1.00:1,Fail,#F0719B,5.96:1,AA,#A1EFD3,12.49:1,AAA,#FFE9AA,13.82:1,AAA,#57C7FF,8.71:1,AAA,#C792EA,6.90:1,AA,#87DFEB,10.89:1,AAA,#F8F8F2,15.57:1,AAA,#585273,2.27:1,Fail,#F02E6E,4.20:1,AA-Large,#2CE592,10.06:1,AAA,#FFB378,9.46:1,AAA,#1DA0E2,5.67:1,AA,#A742EA,3.64:1,AA-Large,#63F2F1,12.25:1,AAA,#A6B3CC,7.85:1,AAA,12/16,14/16,9/16,12/16,#A1EFD3,12.49:1,Pass,#1E1C31,12.49:1,AAA,#FBFCFC,#1E1C31,16.14:1,AAA,16.14:1,Pass,0.555,25000,15.65,102.30,-103.6,5/16,8/16
30,Vesper,71,#101010,#FFFFFF,19.03:1,AAA,#101010,1.00:1,Fail,#F5A191,9.41:1,AAA,#90B99F,8.72:1,AAA,#E6B99D,10.68:1,AAA,#ACA1CF,7.93:1,AAA,#E29ECA,9.04:1,AAA,#EA83A5,7.51:1,AAA,#A0A0A0,7.28:1,AAA,#7E7E7E,4.69:1,AA,#FF8080,7.84:1,AAA,#99FFE4,16.11:1,AAA,#FFC799,12.58:1,AAA,#B9AEDA,9.18:1,AAA,#ECAAD6,10.23:1,AAA,#F591B2,8.68:1,AAA,#FFFFFF,19.03:1,AAA,15/16,15/16,14/16,15/16,#ACB1AB,8.73:1,Pass,#FFFFFF,2.18:1,Fail,#988049,#B9BEB8,2.01:1,Fail,5.00:1,Pass,0.333,6503,4.26,104.83,-107.4,3/16,8/16
31,Dracula+,70,#212121,#F8F8F2,15.11:1,AAA,#21222C,1.02:1,Fail,#FF5555,5.12:1,AA,#50FA7B,11.73:1,AAA,#FFCB6B,10.74:1,AAA,#82AAFF,7.01:1,AAA,#C792EA,6.69:1,AA,#8BE9FD,11.63:1,AAA,#F8F8F2,15.11:1,AAA,#545454,2.13:1,Fail,#FF6E6E,5.91:1,AA,#69FF94,12.52:1,AAA,#FFCB6B,10.74:1,AAA,#D6ACFF,8.59:1,AAA,#FF92DF,8.00:1,AAA,#A4FFFF,14.05:1,AAA,#F8F8F2,15.11:1,AAA,14/16,14/16,11/16,14/16,#ECEFF4,13.97:1,Pass,#282828,12.79:1,AAA,#F8F8F2,#545454,7.10:1,AAA,15.11:1,Pass,0.333,6503,0.00,123.38,-100.7,8/16,10/16
